source,target
/rq/clams,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/66a931805484469707ca8b43_PROJ-Clams.pdf
/terms/milestonerewards,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/666309bd36cf22a34ff83d14_Milestone%20Rewards%20-terms%20and%20conditions.pdf
/terms/codeaudit,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/666309c4a38e79f14d746bc8_Code%20Audit%20Grant%20-%20Terms%20%26%20Conditions%20v.1.docx.pdf
/terms/foundry,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/666309c42fd06847a68a2ade_Foundry%20Program%20-%20T%26Cs%20.pdf
/terms/toolinggrant,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/666309c40f0960eaf28c44cf_Ecosystem%20%26%20Developer%20Tooling%20Grant%20Program%20-%20T%26Cs%20.pdf
/terms/fundraisingrewards,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/666309c454edd9e892d4650b_Fundraising%20Rewards%20Terms%20and%20conditions%20.pdf
/papers-wip,/whitepapers
/terms/xrd,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/643ea1fb182912a40be52497_2023-03-30%20RADIX%20(XRD)%20WEB%20SALE%20TERMS%20AND%20CONDITIONS.pdf
/terms/developerconsoleEULA,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/6500755d41e827213d675d6e_radixdlt.com_developerconsoleEULA.pdf
/post,/blog
/terms/sandbox,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/65ae61067a57deb0d7203ec0_2024-01-4%20THE%20SANDBOX%20WEBSITE%20TERMS%20AND%20CONDITIONS%20(FINAL)%20-%20incl%20URLs.pdf
/terms/walletEULA,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/6511ce8d2c7ab53e06490c60_radixdlt.com_walletEULA.pdf
/terms/yieldderivatives,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/660d43fb2d659c7c7f508276_2024.04.03%20Scrypto%20Challenge%20Terms%20and%20Conditions.pdf
/terms/RadixThread,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/663b3cea9485808c7d480fb7_2024.04.23%20RADIX%20THREAD%20COMPETITIONS%20TERMS.pdf
/terms/booster,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/66589adc8f882cdabc9c9e46_24.02.15%20Ongoing%20Grant%20Program%20T%26Cs%20Non%20signable.docx.pdf
/info-url/identity-owner-badge,https://docs.radixdlt.com/docs/identity
/info-url/account-package,https://docs.radixdlt.com/docs/account
/info-url/identity-package,https://docs.radixdlt.com/docs/identity
/info-url/consensus-manager-package,https://docs.radixdlt.com/docs/consensus-manager
/info-url/access-controller-package,https://docs.radixdlt.com/docs/access-controller
/info-url/pool-package,https://docs.radixdlt.com/docs/pool
/info-url/transaction-processor-package,https://docs.radixdlt.com/docs/transaction-processor
/info-url/metadata-module-package,https://docs.radixdlt.com/docs/metadata
/info-url/royalty-module-package,https://docs.radixdlt.com/docs/royalties
/info-url/role-assignment-module-package,https://docs.radixdlt.com/docs/auth
/info-url/test-utils-package,https://docs.radixdlt.com/docs/native-blueprints
/info-url/genesis-helper-package,https://docs.radixdlt.com/docs/native-blueprints
/info-url/package-package,https://docs.radixdlt.com/docs/native-blueprints
/ecosystem-new,/ecosystem-directory
/info-url/xrd,https://www.radixdlt.com/token
/info-url/secp256k1-signature-resource,https://docs.radixdlt.com/docs/advanced-accessrules#signature-requirements
/info-url/ed25519-signature-resource,https://docs.radixdlt.com/docs/advanced-accessrules#signature-requirements
/info-url/package-of-direct-caller-resource,https://docs.radixdlt.com/docs/advanced-accessrules#caller-requirements
/info-url/global-caller-resource,https://docs.radixdlt.com/docs/advanced-accessrules#caller-requirements
/info-url/system-execution-resource,https://docs.radixdlt.com/docs/advanced-accessrules#system-execution-requirements
/info-url/package-owner-badge,https://docs.radixdlt.com/docs/native-blueprints
/info-url/validator-owner-badge,https://docs.radixdlt.com/docs/validator
/info-url/account-owner-badge,https://docs.radixdlt.com/docs/account
/info-url/resource-package,https://docs.radixdlt.com/docs/resources
/info-url/faucet-package,https://docs.radixdlt.com/docs/faucet
/info-url/transaction-tracker-package,https://docs.radixdlt.com/docs/transaction-tracker
/info-url/locker-package,https://docs.radixdlt.com/docs/locker
/info-url/consensus-manager,https://docs.radixdlt.com/docs/consensus-manager
/info-url/genesis-helper,https://docs.radixdlt.com/docs/genesis-transaction
/info-url/faucet,https://docs.radixdlt.com/docs/faucet
/info-url/transaction-tracker,https://docs.radixdlt.com/docs/transaction-tracker
